px,py,pz,alvox,alvoy,alvoz,choque0,choque1,choque2,choque3,choque4,choque5,acao0,acao1,acao2,acao3,acao4,acao5
30,43,29,21,19,24,0,0,0,0,0,0,0,0,1,0,0,0
28,21,47,12,20,29,0,0,0,0,0,0,1,0,0,0,0,0
23,47,2,7,31,14,0,0,0,0,0,0,0,0,1,0,0,0
16,16,45,27,37,22,0,0,0,0,0,0,1,0,0,0,0,0
35,44,45,3,16,29,0,0,0,0,0,0,0,0,0,0,1,0
22,29,25,11,42,9,0,0,0,0,0,0,1,0,0,0,0,0
20,2,36,23,0,45,0,0,0,0,0,0,0,1,0,0,0,0
8,41,39,44,47,6,0,0,0,0,0,0,0,0,0,0,0,1
4,33,1,33,44,11,0,0,0,0,0,0,0,0,0,0,0,1
15,4,33,10,41,1,0,0,0,0,0,0,0,0,0,1,0,0
17,35,20,11,35,11,0,0,0,0,0,0,1,0,0,0,0,0
2,16,1,44,23,49,0,0,0,0,0,0,0,1,0,0,0,0
21,39,30,0,21,42,0,0,0,0,0,0,0,0,0,0,1,0
24,47,27,9,1,5,0,0,0,0,0,0,0,0,1,0,0,0
13,32,0,38,27,9,0,0,0,0,0,0,0,0,0,0,0,1
28,16,34,6,49,48,0,0,0,0,0,0,0,0,0,1,0,0
6,42,1,48,48,48,0,0,0,0,0,0,0,1,0,0,0,0
44,47,25,4,36,16,0,0,0,0,0,0,0,0,0,0,1,0
26,34,18,36,25,32,0,0,0,0,0,0,0,1,0,0,0,0
49,12,11,37,13,8,0,0,0,0,0,0,0,0,0,0,1,0
22,37,12,18,43,32,0,0,0,0,0,0,0,1,0,0,0,0
47,17,47,32,35,49,0,0,0,0,0,0,0,0,0,1,0,0
21,27,9,4,33,6,0,0,0,0,0,0,0,0,0,0,1,0
47,26,29,32,12,40,0,0,0,0,0,0,0,0,0,0,1,0
44,26,49,5,36,40,0,0,0,0,0,0,0,0,0,0,1,0
27,22,25,49,45,15,0,0,0,0,0,0,0,0,0,1,0,0
2,22,16,48,5,39,0,0,0,0,0,0,0,0,0,0,0,1
49,39,14,16,6,35,0,0,0,0,0,0,0,0,1,0,0,0
42,10,6,23,39,15,0,0,0,0,0,0,0,0,0,1,0,0
39,17,22,8,19,14,0,0,0,0,0,0,0,0,0,0,1,0
33,47,17,5,14,28,0,0,0,0,0,0,0,0,1,0,0,0
12,21,25,7,36,33,0,0,0,0,0,0,0,0,0,1,0,0
27,23,39,29,22,28,0,0,0,0,0,0,1,0,0,0,0,0
26,33,10,43,6,16,0,0,0,0,0,0,0,0,1,0,0,0
4,23,16,39,0,19,0,0,0,0,0,0,0,0,0,0,0,1
45,35,25,10,13,14,0,0,0,0,0,0,0,0,0,0,1,0
37,9,0,6,41,26,0,0,0,0,0,0,0,0,0,1,0,0
9,27,48,27,14,5,0,0,0,0,0,0,1,0,0,0,0,0
2,30,12,43,45,17,0,0,0,0,0,0,0,0,0,0,0,1
9,39,31,44,33,9,0,0,0,0,0,0,0,0,0,0,0,1
6,4,3,4,42,14,0,0,0,0,0,0,0,0,0,1,0,0
20,4,31,44,46,36,0,0,0,0,0,0,0,0,0,1,0,0
33,50,17,19,12,41,0,0,0,0,0,0,0,0,1,0,0,0
1,3,21,18,17,40,0,0,0,0,0,0,0,1,0,0,0,0
16,38,19,44,45,43,0,0,0,0,0,0,0,0,0,0,0,1
11,16,17,15,23,50,0,0,0,0,0,0,0,1,0,0,0,0
14,36,46,36,48,11,0,0,0,0,0,0,1,0,0,0,0,0
17,5,32,27,50,44,0,0,0,0,0,0,0,0,0,1,0,0
1,34,10,13,23,37,0,0,0,0,0,0,0,1,0,0,0,0
32,38,2,37,35,17,0,0,0,0,0,0,0,1,0,0,0,0
7,34,50,30,17,7,0,0,0,0,0,0,1,0,0,0,0,0
27,36,42,33,34,9,0,0,0,0,0,0,1,0,0,0,0,0
46,36,21,7,43,45,0,0,0,0,0,0,0,0,0,0,1,0
40,15,34,34,35,17,0,0,0,0,0,0,0,0,0,1,0,0
15,30,38,36,47,32,0,0,0,0,0,0,0,0,0,0,0,1
41,2,28,27,19,4,0,0,0,0,0,0,1,0,0,0,0,0
21,40,31,13,10,34,0,0,0,0,0,0,0,0,1,0,0,0
33,33,44,23,47,34,0,0,0,0,0,0,0,0,0,1,0,0
18,42,18,25,47,40,0,0,0,0,0,0,0,1,0,0,0,0
29,14,17,46,50,39,0,0,0,0,0,0,0,0,0,1,0,0
21,1,22,16,15,22,0,0,0,0,0,0,0,0,0,1,0,0
46,38,6,24,21,3,0,0,0,0,0,0,0,0,0,0,1,0
12,40,37,28,31,16,0,0,0,0,0,0,1,0,0,0,0,0
38,41,14,37,27,39,0,0,0,0,0,0,0,1,0,0,0,0
8,9,15,26,46,42,0,0,0,0,0,0,0,0,0,1,0,0
41,41,40,38,36,20,0,0,0,0,0,0,1,0,0,0,0,0
2,8,29,29,40,11,0,0,0,0,0,0,0,0,0,1,0,0
13,50,27,18,47,23,0,0,0,0,0,0,0,0,0,0,0,1
50,20,23,2,43,13,0,0,0,0,0,0,0,0,0,0,1,0
6,4,40,32,18,2,0,0,0,0,0,0,1,0,0,0,0,0
26,28,31,30,35,24,0,0,0,0,0,0,1,0,0,0,0,0
49,23,36,6,42,17,0,0,0,0,0,0,0,0,0,0,1,0
7,21,24,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0
16,17,4,35,46,11,0,0,0,0,0,0,0,0,0,1,0,0
11,6,45,6,35,34,0,0,0,0,0,0,0,0,0,1,0,0
23,42,18,4,2,30,0,0,0,0,0,0,0,0,1,0,0,0
28,22,45,26,12,50,0,0,0,0,0,0,0,0,1,0,0,0
20,34,46,24,43,26,0,0,0,0,0,0,1,0,0,0,0,0
18,42,9,29,49,2,0,0,0,0,0,0,0,0,0,0,0,1
48,33,44,50,41,9,0,0,0,0,0,0,1,0,0,0,0,0
4,14,42,14,30,13,0,0,0,0,0,0,1,0,0,0,0,0
48,35,3,9,48,49,0,0,0,0,0,0,0,1,0,0,0,0
35,35,35,11,39,14,0,0,0,0,0,0,0,0,0,0,1,0
37,15,41,17,1,31,0,0,0,0,0,0,0,0,0,0,1,0
3,1,15,37,50,40,0,0,0,0,0,0,0,0,0,1,0,0
33,3,8,30,4,31,0,0,0,0,0,0,0,1,0,0,0,0
10,46,36,21,14,13,0,0,0,0,0,0,0,0,1,0,0,0
9,2,13,24,11,20,0,0,0,0,0,0,0,0,0,0,0,1
41,6,24,21,12,28,0,0,0,0,0,0,0,0,0,0,1,0
1,10,37,43,47,26,0,0,0,0,0,0,0,0,0,0,0,1
27,1,16,39,25,49,0,0,0,0,0,0,0,1,0,0,0,0
8,27,16,20,15,31,0,0,0,0,0,0,0,1,0,0,0,0
13,22,18,1,41,3,0,0,0,0,0,0,0,0,0,1,0,0
41,9,27,28,33,9,0,0,0,0,0,0,0,0,0,1,0,0
5,39,22,49,49,41,0,0,0,0,0,0,0,0,0,0,0,1
3,26,25,46,13,11,0,0,0,0,0,0,0,0,0,0,0,1
34,28,7,2,34,33,0,0,0,0,0,0,0,0,0,0,1,0
10,6,14,27,23,39,0,0,0,0,0,0,0,1,0,0,0,0
6,38,15,28,16,6,0,0,0,0,0,0,0,0,1,0,0,0
33,32,28,31,39,4,0,0,0,0,0,0,1,0,0,0,0,0
4,21,48,20,6,18,0,0,0,0,0,0,1,0,0,0,0,0
1,1,44,20,31,35,0,0,0,0,0,0,0,0,0,1,0,0
35,4,45,38,29,14,0,0,0,0,0,0,1,0,0,0,0,0
19,35,12,26,13,26,0,0,0,0,0,0,0,0,1,0,0,0
39,24,42,26,9,12,0,0,0,0,0,0,1,0,0,0,0,0
50,45,39,30,34,16,0,0,0,0,0,0,1,0,0,0,0,0
33,27,5,15,49,20,0,0,0,0,0,0,0,0,0,1,0,0
6,45,39,3,32,18,0,0,0,0,0,0,1,0,0,0,0,0
28,3,1,16,39,15,0,0,0,0,0,0,0,0,0,1,0,0
23,17,12,22,35,7,0,0,0,0,0,0,0,0,0,1,0,0
50,13,10,23,7,50,0,0,0,0,0,0,0,1,0,0,0,0
23,31,14,18,15,44,0,0,0,0,0,0,0,1,0,0,0,0
36,42,47,14,0,1,0,0,0,0,0,0,1,0,0,0,0,0
4,7,50,21,38,41,0,0,0,0,0,0,0,0,0,1,0,0
32,37,41,44,26,34,0,0,0,0,0,0,0,0,0,0,0,1
48,29,7,50,42,3,0,0,0,0,0,0,0,0,0,1,0,0
30,31,6,42,12,17,0,0,0,0,0,0,0,0,1,0,0,0
24,30,21,25,30,9,0,0,0,0,0,0,1,0,0,0,0,0
47,50,5,42,42,24,0,0,0,0,0,0,0,1,0,0,0,0
9,38,15,38,17,7,0,0,0,0,0,0,0,0,0,0,0,1
50,23,4,49,16,17,0,0,0,0,0,0,0,1,0,0,0,0
38,15,19,7,10,27,0,0,0,0,0,0,0,0,0,0,1,0
24,4,41,0,45,32,0,0,0,0,0,0,0,0,0,1,0,0
35,22,4,29,50,1,0,0,0,0,0,0,0,0,0,1,0,0
48,40,38,38,39,47,0,0,0,0,0,0,0,0,0,0,1,0
42,34,35,34,50,42,0,0,0,0,0,0,0,0,0,1,0,0
26,47,49,44,4,0,0,0,0,0,0,0,1,0,0,0,0,0
45,35,39,22,33,36,0,0,0,0,0,0,0,0,0,0,1,0
