px,py,pz,alvox,alvoy,alvoz,acao0,acao1,acao2,acao3,acao4,acao5
33,28,46,44,37,30,0,1,0,0,0,0
45,19,21,31,37,28,0,0,1,0,0,0
25,27,34,37,41,23,0,0,1,0,0,0
33,7,47,40,28,48,0,0,1,0,0,0
40,45,15,22,13,21,0,0,0,1,0,0
5,4,44,25,38,28,0,0,1,0,0,0
5,2,11,2,31,12,0,0,1,0,0,0
29,29,30,5,25,27,0,0,0,0,0,1
27,43,47,44,9,0,0,1,0,0,0,0
42,31,7,43,17,38,1,0,0,0,0,0
48,21,49,5,9,6,0,1,0,0,0,0
16,16,17,28,4,39,1,0,0,0,0,0
4,47,38,19,5,10,0,0,0,1,0,0
27,13,33,7,0,1,0,1,0,0,0,0
28,48,27,19,8,44,0,0,0,1,0,0
25,16,6,4,33,14,0,0,0,0,0,1
31,40,21,45,38,7,0,1,0,0,0,0
30,21,36,18,44,20,0,0,1,0,0,0
7,21,5,0,29,35,1,0,0,0,0,0
26,14,8,23,13,37,1,0,0,0,0,0
15,38,45,28,30,20,0,1,0,0,0,0
12,45,33,16,33,9,0,1,0,0,0,0
28,10,11,4,11,14,0,0,0,0,0,1
8,22,17,47,29,46,0,0,0,0,1,0
17,20,36,1,34,44,0,0,0,0,0,1
16,37,33,16,49,31,0,0,1,0,0,0
3,31,29,26,3,37,0,0,0,1,0,0
32,23,19,5,4,5,0,0,0,0,0,1
42,14,42,15,20,44,0,0,0,0,0,1
22,15,18,43,32,44,1,0,0,0,0,0
10,37,42,35,3,33,0,0,0,1,0,0
24,1,12,17,47,10,0,0,1,0,0,0
1,21,12,26,35,0,0,0,0,0,1,0
49,26,32,23,43,41,0,0,0,0,0,1
3,13,1,30,32,27,0,0,0,0,1,0
14,22,26,23,17,27,0,0,0,0,1,0
34,4,30,41,25,34,0,0,1,0,0,0
10,2,8,17,7,47,1,0,0,0,0,0
14,36,43,2,20,34,0,0,0,1,0,0
11,2,16,4,5,16,0,0,0,0,0,1
41,16,40,10,30,32,0,0,0,0,0,1
10,38,41,46,9,10,0,0,0,0,1,0
30,30,7,42,30,7,0,0,0,0,1,0
21,6,35,1,28,12,0,1,0,0,0,0
35,6,1,42,48,33,0,0,1,0,0,0
13,32,45,7,24,20,0,1,0,0,0,0
10,43,16,28,25,2,0,0,0,1,0,0
32,0,13,10,48,16,0,0,1,0,0,0
16,11,32,20,4,17,0,1,0,0,0,0
44,10,48,14,24,29,0,0,0,0,0,1
29,15,6,7,7,31,1,0,0,0,0,0
2,2,49,5,1,40,0,1,0,0,0,0
26,37,46,48,9,13,0,1,0,0,0,0
42,3,43,26,29,47,0,0,1,0,0,0
31,37,46,45,7,30,0,0,0,1,0,0
47,6,9,28,13,25,0,0,0,0,0,1
18,27,18,40,47,27,0,0,0,0,1,0
8,41,27,6,29,46,1,0,0,0,0,0
47,13,49,21,42,42,0,0,1,0,0,0
22,35,42,47,24,19,0,0,0,0,1,0
46,2,11,6,29,18,0,0,0,0,0,1
23,28,17,46,21,21,0,0,0,0,1,0
42,28,4,3,48,29,0,0,0,0,0,1
13,17,23,42,27,9,0,0,0,0,1,0
49,7,5,34,36,44,1,0,0,0,0,0
3,14,46,37,5,43,0,0,0,0,1,0
19,43,15,37,5,37,0,0,0,1,0,0
34,26,9,16,34,26,0,0,0,0,0,1
40,33,4,45,17,0,0,0,0,1,0,0
47,12,13,43,46,41,0,0,1,0,0,0
47,38,48,15,26,39,0,0,0,0,0,1
28,35,46,17,35,26,0,1,0,0,0,0
24,19,45,33,31,30,0,1,0,0,0,0
30,4,39,38,47,27,0,0,1,0,0,0
30,34,19,35,7,35,0,0,0,1,0,0
37,45,1,29,47,12,1,0,0,0,0,0
46,33,5,30,6,42,1,0,0,0,0,0
30,39,27,20,49,33,0,0,1,0,0,0
3,31,9,7,33,24,1,0,0,0,0,0
36,3,8,15,20,34,1,0,0,0,0,0
11,23,36,22,35,19,0,1,0,0,0,0
2,6,3,40,46,36,0,0,1,0,0,0
10,17,49,5,39,32,0,0,1,0,0,0
40,34,31,43,41,39,1,0,0,0,0,0
31,49,13,42,41,38,1,0,0,0,0,0
12,6,3,25,27,9,0,0,1,0,0,0
45,3,19,39,30,0,0,0,1,0,0,0
38,43,1,38,40,2,0,0,0,1,0,0
35,11,41,10,41,0,0,1,0,0,0,0
45,25,25,44,23,24,0,0,0,1,0,0
35,1,25,19,17,3,0,1,0,0,0,0
5,49,42,2,35,26,0,1,0,0,0,0
6,4,48,4,38,14,0,1,0,0,0,0
3,44,8,9,44,46,1,0,0,0,0,0
17,25,6,0,41,7,0,0,0,0,0,1
0,32,18,36,37,29,0,0,0,0,1,0
10,45,20,31,49,1,0,0,0,0,1,0
20,40,37,12,31,16,0,1,0,0,0,0
3,5,36,13,10,46,1,0,0,0,0,0
27,40,42,43,47,31,0,0,0,0,1,0
6,47,22,45,3,41,0,0,0,1,0,0
11,9,18,26,25,27,0,0,1,0,0,0
5,6,20,46,42,47,0,0,0,0,1,0
36,32,11,36,22,28,1,0,0,0,0,0
13,18,21,19,12,3,0,1,0,0,0,0
